year,month,day,prov,cases
2020,2,11,전북,0
2020,2,11,전남,0
2020,2,11,경북,0
2020,2,11,경남,0
2020,2,11,제주,0
2020,2,11,검역,0
2020,2,12,서울,0
2020,2,12,부산,0
2020,2,12,대구,0
2020,2,12,인천,0
2020,2,12,광주,0
2020,2,12,대전,0
2020,2,12,울산,0
2020,2,12,세종,0
2020,2,12,경기,0
2020,2,12,강원,0
2020,2,12,충북,0
2020,2,12,충남,0
2020,2,12,전북,0
2020,2,12,전남,0
2020,2,12,경북,0
2020,2,12,경남,0
2020,2,12,제주,0
2020,2,12,검역,0
2020,2,13,서울,0
2020,2,13,부산,0
2020,2,13,대구,0
2020,2,13,인천,0
2020,2,13,광주,0
2020,2,13,대전,0
2020,2,13,울산,0
2020,2,13,세종,0
2020,2,13,경기,0
2020,2,13,강원,0
2020,2,13,충북,0
2020,2,13,충남,0
2020,2,13,전북,0
2020,2,13,전남,0
2020,2,13,경북,0
2020,2,13,경남,0
2020,2,13,제주,0
2020,2,13,검역,0
2020,2,14,서울,0
2020,2,14,부산,0
2020,2,14,대구,0
2020,2,14,인천,0
2020,2,14,광주,0
2020,2,14,대전,0
2020,2,14,울산,0
2020,2,14,세종,0
2020,2,14,경기,0
2020,2,14,강원,0
2020,2,14,충북,0
2020,2,14,충남,0
2020,2,14,전북,0
2020,2,14,전남,0
2020,2,14,경북,0
2020,2,14,경남,0
2020,2,14,제주,0
2020,2,14,검역,0
2020,2,15,서울,0
2020,2,15,부산,0
2020,2,15,대구,0
2020,2,15,인천,0
2020,2,15,광주,0
2020,2,15,대전,0
2020,2,15,울산,0
2020,2,15,세종,0
2020,2,15,경기,0
2020,2,15,강원,0
2020,2,15,충북,0
2020,2,15,충남,0
2020,2,15,전북,0
2020,2,15,전남,0
2020,2,15,경북,0
2020,2,15,경남,0
2020,2,15,제주,0
2020,2,15,검역,0
2020,2,16,서울,2
2020,2,16,부산,0
2020,2,16,대구,0
2020,2,16,인천,0
2020,2,16,광주,0
2020,2,16,대전,0
2020,2,16,울산,0
2020,2,16,세종,0
2020,2,16,경기,0
2020,2,16,강원,0
2020,2,16,충북,0
2020,2,16,충남,0
2020,2,16,전북,0
2020,2,16,전남,0
2020,2,16,경북,0
2020,2,16,경남,0
2020,2,16,제주,0
2020,2,16,검역,0
2020,2,17,서울,0
2020,2,17,부산,0
2020,2,17,대구,0
2020,2,17,인천,0
2020,2,17,광주,0
2020,2,17,대전,0
2020,2,17,울산,0
2020,2,17,세종,0
2020,2,17,경기,0
2020,2,17,강원,0
2020,2,17,충북,0
2020,2,17,충남,0
2020,2,17,전북,0
2020,2,17,전남,0
2020,2,17,경북,0
2020,2,17,경남,0
2020,2,17,제주,0
2020,2,17,검역,0
2020,2,18,서울,0
2020,2,18,부산,0
2020,2,18,대구,1
2020,2,18,인천,0
2020,2,18,광주,0
2020,2,18,대전,0
2020,2,18,울산,0
2020,2,18,세종,0
2020,2,18,경기,1
2020,2,18,강원,0
2020,2,18,충북,0
2020,2,18,충남,0
2020,2,18,전북,0
2020,2,18,전남,0
2020,2,18,경북,0
2020,2,18,경남,0
2020,2,18,제주,0
2020,2,18,검역,0
2020,2,19,서울,2
2020,2,19,부산,0
2020,2,19,대구,27
2020,2,19,인천,0
2020,2,19,광주,0
2020,2,19,대전,0
2020,2,19,울산,0
2020,2,19,세종,0
2020,2,19,경기,0
2020,2,19,강원,0
2020,2,19,충북,0
2020,2,19,충남,0
2020,2,19,전북,0
2020,2,19,전남,0
2020,2,19,경북,5
2020,2,19,경남,0
2020,2,19,제주,0
2020,2,19,검역,0
2020,2,20,서울,0
2020,2,20,부산,0
2020,2,20,대구,12
2020,2,20,인천,0
2020,2,20,광주,0
2020,2,20,대전,0
2020,2,20,울산,0
2020,2,20,세종,0
2020,2,20,경기,0
2020,2,20,강원,0
2020,2,20,충북,0
2020,2,20,충남,0
2020,2,20,전북,0
2020,2,20,전남,0
2020,2,20,경북,4
2020,2,20,경남,0
2020,2,20,제주,0
2020,2,20,검역,0
2020,2,21,서울,5
2020,2,21,부산,0
2020,2,21,대구,44
2020,2,21,인천,0
2020,2,21,광주,1
2020,2,21,대전,0
2020,2,21,울산,0
2020,2,21,세종,0
2020,2,21,경기,1
2020,2,21,강원,0
2020,2,21,충북,1
2020,2,21,충남,1
2020,2,21,전북,1
2020,2,21,전남,0
2020,2,21,경북,17
2020,2,21,경남,2
2020,2,21,제주,1
2020,2,21,검역,0
2020,2,22,서울,2
2020,2,22,부산,2
2020,2,22,대구,67
2020,2,22,인천,0
2020,2,22,광주,3
2020,2,22,대전,1
2020,2,22,울산,0
2020,2,22,세종,1
2020,2,22,경기,2
2020,2,22,강원,0
2020,2,22,충북,2
2020,2,22,충남,0
2020,2,22,전북,1
2020,2,22,전남,0
2020,2,22,경북,106
2020,2,22,경남,2
2020,2,22,제주,1
2020,2,22,검역,0
2020,2,23,서울,3
2020,2,23,부산,7
2020,2,23,대구,136
2020,2,23,인천,1
2020,2,23,광주,1
2020,2,23,대전,1
2020,2,23,울산,1
2020,2,23,세종,0
2020,2,23,경기,8
2020,2,23,강원,6
2020,2,23,충북,0
2020,2,23,충남,0
2020,2,23,전북,0
2020,2,23,전남,0
2020,2,23,경북,39
2020,2,23,경남,7
2020,2,23,제주,0
2020,2,23,검역,0
2020,2,24,서울,4
2020,2,24,부산,8
2020,2,24,대구,152
2020,2,24,인천,0
2020,2,24,광주,2
2020,2,24,대전,1
2020,2,24,울산,0
2020,2,24,세종,0
2020,2,24,경기,12
2020,2,24,강원,0
2020,2,24,충북,0
2020,2,24,충남,0
2020,2,24,전북,0
2020,2,24,전남,0
2020,2,24,경북,19
2020,2,24,경남,9
2020,2,24,제주,0
2020,2,24,검역,0
2020,2,25,서울,7
2020,2,25,부산,18
2020,2,25,대구,54
2020,2,25,인천,0
2020,2,25,광주,0
2020,2,25,대전,0
2020,2,25,울산,1
2020,2,25,세종,0
2020,2,25,경기,5
2020,2,25,강원,0
2020,2,25,충북,0
2020,2,25,충남,0
2020,2,25,전북,0
2020,2,25,전남,0
2020,2,25,경북,44
2020,2,25,경남,1
2020,2,25,제주,0
2020,2,25,검역,0
2020,2,26,서울,8
2020,2,26,부산,13
2020,2,26,대구,184
2020,2,26,인천,1
2020,2,26,광주,0
2020,2,26,대전,0
2020,2,26,울산,1
2020,2,26,세종,0
2020,2,26,경기,3
2020,2,26,강원,0
2020,2,26,충북,2
2020,2,26,충남,1
2020,2,26,전북,0
2020,2,26,전남,0
2020,2,26,경북,36
2020,2,26,경남,4
2020,2,26,제주,0
2020,2,26,검역,0
2020,2,27,서울,10
2020,2,27,부산,8
2020,2,27,대구,340
2020,2,27,인천,0
2020,2,27,광주,0
2020,2,27,대전,5
2020,2,27,울산,3
2020,2,27,세종,0
2020,2,27,경기,12
2020,2,27,강원,0
2020,2,27,충북,2
2020,2,27,충남,5
2020,2,27,전북,0
2020,2,27,전남,0
2020,2,27,경북,53
2020,2,27,경남,11
2020,2,27,제주,0
2020,2,27,검역,0
2020,2,28,서울,7
2020,2,28,부산,5
2020,2,28,대구,296
2020,2,28,인천,1
2020,2,28,광주,0
2020,2,28,대전,4
2020,2,28,울산,5
2020,2,28,세종,0
2020,2,28,경기,11
2020,2,28,강원,0
2020,2,28,충북,3
2020,2,28,충남,9
2020,2,28,전북,2
2020,2,28,전남,0
2020,2,28,경북,74
2020,2,28,경남,10
2020,2,28,제주,0
2020,2,28,검역,0
2020,2,29,서울,12
2020,2,29,부산,14
2020,2,29,대구,742
2020,2,29,인천,2
2020,2,29,광주,0
2020,2,29,대전,1
2020,2,29,울산,6
2020,2,29,세종,0
2020,2,29,경기,10
2020,2,29,강원,1
2020,2,29,충북,0
2020,2,29,충남,32
2020,2,29,전북,0
2020,2,29,전남,1
2020,2,29,경북,75
2020,2,29,경남,13
2020,2,29,제주,0
2020,2,29,검역,0
2020,3,1,서울,8
2020,3,1,부산,4
2020,3,1,대구,512
2020,3,1,인천,0
2020,3,1,광주,0
2020,3,1,대전,0
2020,3,1,울산,0
2020,3,1,세종,0
2020,3,1,경기,8
2020,3,1,강원,0
2020,3,1,충북,1
2020,3,1,충남,12
2020,3,1,전북,0
2020,3,1,전남,1
2020,3,1,경북,48
2020,3,1,경남,1
2020,3,1,제주,0
2020,3,1,검역,0
2020,3,2,서울,9
2020,3,2,부산,6
2020,3,2,대구,517
2020,3,2,인천,1
2020,3,2,광주,0
2020,3,2,대전,1
2020,3,2,울산,3
2020,3,2,세종,0
2020,3,2,경기,8
2020,3,2,강원,12
2020,3,2,충북,0
2020,3,2,충남,17
2020,3,2,전북,1
2020,3,2,전남,1
2020,3,2,경북,108
2020,3,2,경남,2
2020,3,2,제주,0
2020,3,2,검역,0
2020,3,3,서울,7
2020,3,3,부산,2
2020,3,3,대구,520
2020,3,3,인천,0
2020,3,3,광주,2
2020,3,3,대전,0
2020,3,3,울산,0
2020,3,3,세종,0
2020,3,3,경기,2
2020,3,3,강원,1
2020,3,3,충북,0
2020,3,3,충남,4
2020,3,3,전북,1
2020,3,3,전남,0
2020,3,3,경북,59
2020,3,3,경남,1
2020,3,3,제주,1
2020,3,3,검역,0
2020,3,4,서울,0
2020,3,4,부산,3
2020,3,4,대구,398
2020,3,4,인천,1
2020,3,4,광주,2
2020,3,4,대전,1
2020,3,4,울산,3
2020,3,4,세종,0
2020,3,4,경기,9
2020,3,4,강원,1
2020,3,4,충북,0
2020,3,4,충남,1
2020,3,4,전북,0
2020,3,4,전남,0
2020,3,4,경북,95
2020,3,4,경남,2
2020,3,4,제주,0
2020,3,4,검역,0
2020,3,5,서울,5
2020,3,5,부산,0
2020,3,5,대구,326
2020,3,5,인천,1
2020,3,5,광주,0
2020,3,5,대전,1
2020,3,5,울산,0
2020,3,5,세종,0
2020,3,5,경기,7
2020,3,5,강원,2
2020,3,5,충북,1
2020,3,5,충남,4
2020,3,5,전북,0
2020,3,5,전남,0
2020,3,5,경북,81
2020,3,5,경남,9
2020,3,5,제주,1
2020,3,5,검역,0
2020,3,6,서울,2
2020,3,6,부산,3
2020,3,6,대구,367
2020,3,6,인천,0
2020,3,6,광주,0
